State,X,Y
Andhra Pradesh,-79.0,-93.0
Arunachal Pradesh,194.0,136.0
Assam,153.0,94.0
Bihar,41.0,81.0
Chhattisgarh,-32.0,-42.0
Goa,-168.0,-131.0
Gujarat,-209.0,27.0
Haryana,-131.0,147.0
Himachal Pradesh,-114.0,194.0
Jharkhand,22.0,42.0
Karnataka,-151.0,-148.0
Kerala,-123.0,-229.0
Madhya Pradesh,-137.0,16.0
Maharashtra,-164.0,-41.0
Manipur,195.0,67.0
Meghalaya,141.0,76.0
Mizoram,182.0,33.0
Nagaland,206.0,91.0
Odisha,13.0,-34.0
Punjab,-151.0,165.0
Rajasthan,-190.0,89.0
Sikkim,93.0,115.0
Tamil Nadu,-88.0,-210.0
Tripura,-88.0,-210.0
Uttar Pradesh,-65.0,108.0
Uttarakhand,-67.0,161.0
West Bengal,94.0,25.0
